,local_delta
1952,152339129
1953,140573106
1954,138882014
1955,125815160
1956,137262901
1957,192392759
1958,167562747
1959,176298826
1960,161120257
1961,138199148
1962,131782179
1963,198324777
1964,153020529
1965,133176342
1966,135824984
1967,126505415
1968,156535938
1969,113512415
1970,140831171
1971,192144471
1972,175985279
1973,187304687
1974,149934280
1975,136373312
1976,124325937
1977,116110325
1978,124813851
1979,103951543
1980,140467158
1981,158629522
1982,118075841
1983,138420285
1984,165466176
1985,210729432
1986,140866530
1987,137633931
1988,135786642
1989,109588666
1990,137405024
1991,164570029
1992,153099110
1993,116837663
1994,111036891
1995,184959626
1996,128059881
1997,140306839
1998,139825121
1999,159729045
2000,108665644
2001,103731068
2002,120792705
2003,128864565
2004,122723065
2005,124805040
2006,112385686
2007,148506769
2008,147343906
2009,209834888
2010,178322339
2011,184387641
2012,140750582
2013,149245359
2014,134285176
2015,227481102
2016,121356709
2017,207277908
2018,123028476
2019,149942802
2020,171666721
2021,183292481
2022,119377232
2023,147621868
2024,104926372
2025,100897525
2026,108303500
2027,164833918
2028,137805008
2029,118702700
2030,142374947
2031,139728910
2032,149280194
2033,114701508
2034,138358912
2035,133019651
2036,149293683
2037,153073467
2038,144674836
2039,147341863
2040,165313964
2041,177384566
2042,192565266
2043,155221846
2044,140556925
2045,105946365
2046,133783032
2047,128364447
2048,136687713
2049,124561902
2050,139951508
2051,137952448
2052,143121866
2053,161686778
2054,161107040
2055,140533223
2056,133775736
2057,136337971
2058,144829933
2059,117510923
2060,122822891
2061,187831986
2062,109583541
2063,105178445
2064,112553377
2065,144374932
2066,199989251
2067,134198649
2068,158088133
2069,112103899
2070,134853437
2071,125310278
2072,126867254
2073,112382334
2074,135312133
2075,134686978
2076,115870035
2077,138527751
2078,134059634
2079,134483540
2080,128355218
2081,114852119
2082,130299693
2083,141140140
2084,129978495
2085,156164694
2086,147786219
2087,195072532
2088,125618190
2089,151871262
2090,129209067
2091,102601202
2092,127267247
2093,133162964
2094,171607522
2095,141395759
2096,122885639
2097,152744850
2098,119798353
2099,175718397
2100,144800959
2101,156981089
2102,197689497
2103,151862921
2104,116732837
2105,218405390
2106,158531188
2107,166439401
2108,130489838
2109,168679656
2110,123580581
2111,101481980
2112,149414173
2113,181431451
2114,130209941
2115,131923114
2116,145255534
2117,108766286
2118,110437897
2119,148285371
2120,212857215
2121,161554352
2122,137350444
2123,119792614
2124,198891877
2125,160395602
2126,104043636
2127,165227466
2128,156499984
2129,149674529
2130,174618746
2131,130609360
2132,92487773
2133,127714679
2134,145353964
2135,106113474
2136,193460893
2137,274393533
2138,152912279
